concept,2024,2023,2022,2021,2020
us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-694000000,-1462000000,-196000000,-236000000,-94000000
uber_IncreaseDecreaseInOperatingLeaseRightOfUseAssets,-196000000,-191000000,-193000000,-165000000,-341000000
us-gaap_IncreaseDecreaseInAccountsPayable,86000000,64000000,-133000000,90000000,-133000000
uber_IncreaseDecreaseInInsuranceReserve,2819000000,2015000000,736000000,516000000,-3000000
us-gaap_IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,330000000,295000000,492000000,1068000000,83000000
uber_IncreaseDecreaseinOperatingLeaseLiabilities,-221000000,-180000000,-215000000,-184000000,-131000000
us-gaap_NetCashProvidedByUsedInOperatingActivities,7137000000,3585000000,642000000,-445000000,-2745000000
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-242000000,-223000000,-252000000,-298000000,-616000000
uber_PaymentstoAcquireNonMarketableInvestments,-289000000,-52000000,-14000000,-982000000,-10000000
us-gaap_PaymentsToAcquireMarketableSecurities,-12765000000,-8774000000,-1708000000,-1113000000,-2101000000
us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities,10204000000,5069000000,376000000,2291000000,1360000000
us-gaap_ProceedsFromSaleOfEquityMethodInvestments,17000000,721000000,0,1000000000,
us-gaap_ProceedsFromDivestitureOfBusinessesNetOfCashDivested,0,0,26000000,0,0
us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,-0,-0,-59000000,-2314000000,-1471000000
us-gaap_PaymentsForProceedsFromOtherInvestingActivities,-102000000,-33000000,-6000000,-12000000,-60000000
us-gaap_NetCashProvidedByUsedInInvestingActivities,-3177000000,-3226000000,-1637000000,-1201000000,-2869000000
us-gaap_ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,0,0,255000000,675000000,247000000
uber_ProceedsFromIssuanceOfCommonStockEmployeeStockPurchasePlan,156000000,130000000,92000000,107000000,125000000
us-gaap_ProceedsFromIssuanceOfLongTermDebt,3972000000,2824000000,0,1484000000,2628000000
us-gaap_PaymentsForDerivativeInstrumentFinancingActivities,-0,-141000000,,,
us-gaap_RepaymentsOfLongTermDebt,-3986000000,-2675000000,-0,-27000000,-527000000
us-gaap_RepaymentsOfNotesPayable,-0,-25000000,-80000000,-307000000,-891000000
us-gaap_FinanceLeasePrincipalPayments,-172000000,-171000000,-184000000,-226000000,-224000000
us-gaap_PaymentsForRepurchaseOfCommonStock,-1252000000,,,,
us-gaap_PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,-851000000,,,,
us-gaap_ProceedsFromPaymentsForOtherFinancingActivities,46000000,-37000000,-68000000,101000000,38000000
us-gaap_NetCashProvidedByUsedInFinancingActivities,-2087000000,-95000000,15000000,1780000000,1379000000
us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-267000000,63000000,-148000000,-69000000,-92000000
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,1606000000,327000000,-1128000000,65000000,-4327000000
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,8610000000,7004000000,6677000000,7805000000,7391000000
us-gaap_InterestPaidNet,475000000,629000000,513000000,449000000,412000000
us-gaap_IncomeTaxesPaidNet,324000000,234000000,175000000,87000000,82000000
us-gaap_RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,4000000,,,,
us-gaap_RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,132000000,84000000,329000000,,
uber_OwnershipInterestReceivedInExchangeForDivestiture,0,300000000,0,1018000000,171000000
us-gaap_OtherComprehensiveIncomeLossNetOfTax,-96000000,22000000,81000000,11000000,-348000000
us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,9749000000,2178000000,-9057000000,-559000000,-7136000000
us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-11000000,-269000000,-3000000,-74000000,-20000000
us-gaap_ComprehensiveIncomeNetOfTax,9760000000,1909000000,-9060000000,-485000000,-7116000000
us-gaap_PropertyPlantAndEquipmentNet,,2073000000,2082000000,1853000000,1814000000
us-gaap_AccruedLiabilitiesCurrent,,6458000000,6232000000,6537000000,5112000000
us-gaap_InterestExpense,,-633000000,-565000000,-483000000,-458000000
uber_IncreaseDecreaseFundsHeldByInsurers,,-0,-0,-860000000,-339000000
uber_ProceedsFromSaleOfNonMarketableEquitySecurities,,0,0,500000000,
us-gaap_PaymentsToAcquireNotesReceivable,,-0,-0,-297000000,-185000000
us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,,,,,
uber_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsReclassificationFromToAssetsHeldForSaleDuringPeriod,,0,0,349000000,-349000000
us-gaap_CapitalLeaseObligationsIncurred,,216000000,349000000,184000000,196000000
us-gaap_StockIssued1,,0,0,1868000000,3898000000
uber_DebtConversionConvertedInstrumentAmountRelatedToAcquisition,,0,0,232000000,
us-gaap_AccountingStandardsUpdateExtensibleList,,,,,
uber_AdditionalPaidInCapitalCappedCalls,,141000000,,,
uber_MarketableandNonMarketableInvestments,,,4401000000,11806000000,9052000000
uber_ImpairmentLossDebtAndEquitySecuritiesAvailableForSale,,,-0,,
us-gaap_ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,,,0,0,91000000
us-gaap_NotesIssued1,,,0,0,1228000000
us-gaap_AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,0,517000000
uber_FundsHeldByInsurer,,,,0,860000000
us-gaap_LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,-0,-100000000
us-gaap_GainsLossesOnExtinguishmentOfDebt,,,,0,0
us-gaap_ImpairmentOfInvestments,,,,-0,-1690000000
us-gaap_AssetImpairmentCharges,,,,116000000,404000000
us-gaap_ProceedsFromIssuanceInitialPublicOffering,,,,0,0
us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,-27000000,-17000000
us-gaap_ProceedsFromIssuanceOfPrivatePlacement,,,,0,0
us-gaap_ConversionOfStockAmountConverted1,,,,0,0
us-gaap_DebtConversionConvertedInstrumentAmount1,,,,0,0
